BatchID,TestDate,TestParameter,MeasuredValue,SpecLimit,PassFail,Operator
CVC-2024-0263,2024-01-08,Lumen Friction Coefficient,0.129,0.2,Pass,S. Iyer
CVC-2024-0266,2024-01-15,Lumen Friction Coefficient,0.134,0.2,Pass,J. Rao
CVC-2024-0417,2024-01-15,Tensile Strength (N),15.55,15.0,Pass,P. Nair
CVC-2024-0429,2024-01-20,Burst Pressure (psi),29.1,25.0,Pass,J. Rao
CVC-2024-0269,2024-01-22,Lumen Friction Coefficient,0.114,0.2,Pass,P. Nair
CVC-2024-0272,2024-01-29,Lumen Friction Coefficient,0.116,0.2,Pass,P. Nair
CVC-2024-0275,2024-02-05,Lumen Friction Coefficient,0.113,0.2,Pass,P. Nair
CVC-2024-0278,2024-02-12,Lumen Friction Coefficient,0.123,0.2,Pass,J. Rao
CVC-2024-0418,2024-02-15,Tensile Strength (N),16.39,15.0,Pass,A. Gupta
CVC-2024-0281,2024-02-19,Lumen Friction Coefficient,0.136,0.2,Pass,J. Rao
CVC-2024-0430,2024-02-20,Burst Pressure (psi),29.9,25.0,Pass,S. Iyer
CVC-2024-0284,2024-02-26,Lumen Friction Coefficient,0.124,0.2,Pass,P. Nair
CVC-2024-0287,2024-03-04,Lumen Friction Coefficient,0.135,0.2,Pass,P. Nair
CVC-2024-0290,2024-03-11,Lumen Friction Coefficient,0.117,0.2,Pass,S. Iyer
CVC-2024-0419,2024-03-15,Tensile Strength (N),18.92,15.0,Pass,A. Gupta
CVC-2024-0293,2024-03-18,Lumen Friction Coefficient,0.148,0.2,Pass,P. Nair
CVC-2024-0431,2024-03-20,Burst Pressure (psi),26.5,25.0,Pass,S. Iyer
CVC-2024-0296,2024-03-25,Lumen Friction Coefficient,0.167,0.2,Pass,P. Nair
CVC-2024-0299,2024-04-01,Lumen Friction Coefficient,0.145,0.2,Pass,J. Rao
CVC-2024-0302,2024-04-08,Lumen Friction Coefficient,0.169,0.2,Pass,J. Rao
CVC-2024-0305,2024-04-15,Lumen Friction Coefficient,0.143,0.2,Pass,S. Iyer
CVC-2024-0420,2024-04-15,Tensile Strength (N),19.44,15.0,Pass,A. Gupta
CVC-2024-0432,2024-04-20,Burst Pressure (psi),26.9,25.0,Pass,J. Rao
CVC-2024-0308,2024-04-22,Lumen Friction Coefficient,0.127,0.2,Pass,S. Iyer
CVC-2024-0311,2024-04-29,Lumen Friction Coefficient,0.233,0.2,Fail,P. Nair
CVC-2024-0314,2024-05-06,Lumen Friction Coefficient,0.215,0.2,Fail,S. Iyer
CVC-2024-0317,2024-05-13,Lumen Friction Coefficient,0.198,0.2,Pass,P. Nair
CVC-2024-0421,2024-05-15,Tensile Strength (N),19.32,15.0,Pass,S. Iyer
CVC-2024-0320,2024-05-20,Lumen Friction Coefficient,0.241,0.2,Fail,M. Fernandes
CVC-2024-0433,2024-05-20,Burst Pressure (psi),26.0,25.0,Pass,J. Rao
CVC-2024-0323,2024-05-27,Lumen Friction Coefficient,0.198,0.2,Pass,J. Rao
CVC-2024-0326,2024-06-03,Lumen Friction Coefficient,0.235,0.2,Fail,P. Nair
CVC-2024-0329,2024-06-10,Lumen Friction Coefficient,0.206,0.2,Fail,P. Nair
CVC-2024-0422,2024-06-15,Tensile Strength (N),15.85,15.0,Pass,J. Rao
CVC-2024-0332,2024-06-17,Lumen Friction Coefficient,0.224,0.2,Fail,M. Fernandes
CVC-2024-0434,2024-06-20,Burst Pressure (psi),33.6,25.0,Pass,J. Rao
